Timestamp,Modello,Nome,Posizione,Numero Seriale,Air quality,Atmospheric pressure,Lux,Co2,Co2e,Comfort,Electrosmog,Electrosmog hf,Electrosmog lf,Humidity,Iaq,Pm10,Pm25,Sound,Temperature,Tvoc,Wifi level,Wifi number
2020-12-10 00:04:35,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,308.0,1540,100,100,1.4,157,51.9,72.6,4,3,33.3,20.5,199,-63,6
2020-12-10 00:09:35,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.7,0.0,309.0,1522,100,100,1.3,153,51.9,74.0,3,2,29.8,20.4,186,-62,7
2020-12-10 00:14:32,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,306.0,1537,100,100,1.4,154,51.9,72.8,5,4,29.3,20.4,197,-62,9
2020-12-10 00:19:31,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,307.0,1521,100,100,1.4,195,51.8,73.4,5,4,30.7,20.4,186,-63,5
2020-12-10 00:24:29,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,306.0,1503,100,100,1.4,165,51.9,72.4,5,4,32.5,20.4,174,-63,7
2020-12-10 00:29:27,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,312.0,1495,100,100,1.4,153,51.8,72.0,4,3,30.4,20.4,166,-62,4
2020-12-10 00:34:26,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,308.0,1470,100,100,1.3,161,51.8,69.6,4,3,30.1,20.4,163,-62,4
2020-12-10 00:39:24,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,317.0,1465,100,100,1.4,214,51.8,71.2,6,5,32.3,20.4,162,-62,5
2020-12-10 00:44:23,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,316.0,1380,100,100,1.3,156,51.8,68.1,5,4,39.8,20.3,149,-63,8
2020-12-10 00:49:20,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.7,0.0,304.0,1408,100,100,1.3,156,51.7,65.8,3,2,44.2,20.4,153,-64,7
2020-12-10 00:54:19,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.6,0.0,311.0,1367,100,100,1.4,163,51.7,67.8,4,3,42.7,20.4,147,-62,7
2020-12-10 00:59:17,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.8,0.0,315.0,1310,100,100,1.4,158,51.7,63.2,4,3,43.7,20.4,138,-62,6
2020-12-10 01:04:16,Aircare PRO+,SUORE DI IVREA,TERZA ELEMENTARE,17120003-00-19/001-000073,100,1001.7,0.0,301.0,1212,100,100,1.3,151,51.7,63.4,4,3,45.0,20.3,123,-63,6
