class name,Date ,Duration,start,end,minimum,maximum,people,room surface area ,room height,Windows,no of win,door ,no of door,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End
,datetime,minutes,datetime,datetime,,,,m^2,m,m^2,constant,m^2,constant,humidity-indoor,humidity-Indoor,humidity-out,humidity-out,Co2,Co2,Temp-in,Temp-in,Temp-out,Temp-out,wind speed,wind speed
Quint Elementary,12/9/2020,204,13.4,17.06,400,942,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/10/2020,184,13.4,16.44,400,1478,21,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/11/2020,194,12.42,17.01,400,1673,21,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/14/2020,248,13.45,17.53,400,783,21,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/15/2020,507,11,19.25,400,1122,21,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/16/2020,293,12,16.53,400,1005,21,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/17/2020,129,13.4,15.51,400,1169,20,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/18/2020,408,12.54,19.42,400,903,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/21/2020,254,13.46,18,400,1039,21,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,12/22/2020,219,13.4,17.17,400,1704,21,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/7/2021,338,12,17.4,400,1320,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/8/2021,243,12.45,16.42,400,995,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/11/2021,447,10.36,17.09,400,1079,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/12/2021,230,11,14.3,400,1172,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/13/2021,449,10.2,17.5,400,1128,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/14/2021,194,13.4,16.57,400,1363,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/15/2021,339,12.3,18.04,400,1321,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/18/2021,459,12,17.42,400,1170,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/19/2020,592,10.5,20.39,400,1588,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/20/2020,416,10,17.3,400,1031,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/21/2021,423,12,20.19,400,1244,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/22/2021,199,10.25,13.43,400,836,21,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/25/2021,394,10.2,16.54,400,1180,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/26/2021,213,11.15,17.11,400,1110,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/27/2021,353,12,17.53,400,1534,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/28/2021,364,11,17.11,400,1411,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,1/29/2021,246,12,16.4,400,1065,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,2/1/2021,433,10.4,17.1,400,1198,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,2/2/2021,330,11.1,16.4,400,1163,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,2/3/2021,383,10.42,16.45,400,915,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,2/4/2021,199,13.3,16.52,400,1131,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
